"Référence","Désignation","site dafy","site chaft","Prix H.T.","Prix T.T.C.","Réel","Réservé","Dispo","P","Cde four.","Casier","Fournisseur","Couleur","Marque","Taille","Réf Fournisseur","Code TVA","Condi.achat","Nomenclature.associée","Code barre","Remplacement","Année","Dernier achat","Dernière vente","Rayon","Sous-rayon","Catégorie","Prix achat bloqué","Prix vente bloqué","Sur internet"
"098448399901","CHAFT ADAPT LEV EMB LEE25N","KO","https://www.chaft.fr/fr/nouveautes/1370-adaptateur-de-levier-dembrayage-25-3701177271251.html?search_query=lee25n&results=1","150.00 Dh","180.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","LEE25N","020.0 %","0.00","","3701177271251","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098448499901","CHAFT ADAPT LEV EMB LEE26N","KO","https://www.chaft.fr/fr/nouveautes/1421-adaptateur-de-levier-dembrayage-26-3701177271268.html?search_query=lee26n&results=1","150.00 Dh","180.00 Dh","000004","0.00","000004","","000000","","CHAFT","","CHAFT","","LEE26N","020.0 %","0.00","","3701177271268","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098448699901","CHAFT ADAPT LEV EMB LEE28N","KO","https://www.chaft.fr/fr/nouveautes/1367-adaptateur-de-levier-dembrayage-28-3701177271282.html?search_query=lee28n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEE28N","020.0 %","0.00","","3701177271282","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098448799901","CHAFT ADAPT LEV EMB LEE29N","KO","https://www.chaft.fr/fr/nouveautes/1407-adaptateur-de-levier-dembrayage-29-3701177271299.html?search_query=lee29n&results=1","150.00 Dh","180.00 Dh","000008","0.00","000008","","000000","","CHAFT","","CHAFT","","LEE29N","020.0 %","0.00","","3701177271299","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098449199901","CHAFT ADAPT LEV EMB LEE33N","KO","https://www.chaft.fr/fr/nouveautes/1378-adaptateur-de-levier-dembrayage-33-3701177271336.html?search_query=lee33n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEE33N","020.0 %","0.00","","3701177271336","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098449299901","CHAFT ADAPT LEV EMB LEE34N","KO","https://www.chaft.fr/fr/nouveautes/1351-adaptateur-de-levier-dembrayage-34-3701177271343.html?search_query=lee34n&results=1","150.00 Dh","180.00 Dh","000017","0.00","000017","","000000","","CHAFT","","CHAFT","","LEE34N","020.0 %","0.00","","3701177271343","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098449399901","CHAFT ADAPT LEV EMB LEE35N","KO","https://www.chaft.fr/fr/nouveautes/1403-adaptateur-de-levier-dembrayage-35-3701177271350.html?search_query=lee35n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEE35N","020.0 %","0.00","","3701177271350","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098449799901","CHAFT ADAPT LEV FR LEF02N","KO","https://www.chaft.fr/fr/nouveautes/1353-adaptateur-de-levier-de-frein-02-3701177272029.html?search_query=lef02n&results=1","150.00 Dh","180.00 Dh","000010","0.00","000010","","000000","","CHAFT","","CHAFT","","LEF02N","020.0 %","0.00","","3701177272029","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098449999901","CHAFT ADAPT LEV FR LEF04N","KO","https://www.chaft.fr/fr/nouveautes/1347-adaptateur-de-levier-de-frein-04-3701177272043.html?search_query=lef04n&results=1","150.00 Dh","180.00 Dh","000008","0.00","000008","","000000","","CHAFT","","CHAFT","","LEF04N","020.0 %","0.00","","3701177272043","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
"098450199901","CHAFT ADAPT LEV FR LEF06N","KO","https://www.chaft.fr/fr/nouveautes/1415-adaptateur-de-levier-de-frein-06-3701177272067.html?search_query=lef06n&results=1","150.00 Dh","180.00 Dh","000003","0.00","000003","","000000","","CHAFT","","CHAFT","","LEF06N","020.0 %","0.00","","3701177272067","","","7/10/2021","","Moto","ACCESSOIRES","LEVIERS","Oui","Oui",""
